titre,contenu_nettoye,categorie
"Burkina Faso : À 14 ans, il crée une application pour lutter contre la cybercriminalité","Yann Harris Charbel Siry est passionné par la cybersécurité, l’informatique et l’innovation. Dès l’âge de 9 ans, il imagine le projet ‘’YamCyber’’. Cinq ans plus tard, ce jeune burkinabè de 14 ans parvient à concrétiser son idée en développant cette application web destinée à lutter contre la cybercriminalité au Burkina Faso et en Afrique. Dans sa quête d’innovation, il a également lancé une initiative d’étiquettes éducatives, toujours dans le but de sensibiliser le public aux enjeux de la cybersécurité.
Tout commence alors qu’il n’a que 9 ans. À un âge encore marqué par les jeux, Yann Harris Charbel Siry cherche déjà à comprendre le fonctionnement des appareils électroniques. Fasciné par ses robots et ses voitures télécommandées, offerts par ses parents, il démonte, observe et apprend.
« C’est comme ça que je me suis lancé dans l’informatique. Plus tard, j’ai commencé à concevoir des affiches et des visuels pour des clients, mes proches et mon entourage »
, raconte-t-il.
Yann Harris Charbel Siry, promoteur de YamCyber
Malgré cette passion grandissante, les études demeurent la priorité. Ses parents y veillent avec rigueur. Hors de question cependant d’abandonner l’informatique. Yann apprend donc à concilier les deux.
« Je donne la priorité à mes études. Pendant mon temps libre, les week-ends et les vacances, je me consacre pleinement à l’informatique »,
explique-t-il.
Grâce à cette discipline, il parvient, à seulement 14 ans, à développer YamCyber. Le nom est composé de ‘’Yam’’, qui signifie
« intelligence »
en langue mooré, et de
« Cyber »,
en référence à l’informatique, à internet et au monde numérique.

Sécurité intérieure : La Police nationale lance ses premières Journées scientifiques pour conquérir sa souveraineté technologique
L’application web a été conçue pour lutter contre la cybercriminalité au Burkina Faso et en Afrique. Elle propose des cours de sensibilisation adaptés à différents publics, une intelligence artificielle capable de répondre aux questions des utilisateurs en mooré, en dioula et en fulfulde, ainsi que des conseils pratiques en cybersécurité.
Le lancement de la version mobile est prévu pour le 20 juillet 2026. Elle sera disponible sur Play Store pour les appareils Android et sur App Store pour les iPhone. Yann revient également sur une anecdote liée au développement de son projet.
« Au début, tout se faisait de manière manuscrite, parce que je n’avais pas encore d’ordinateur »
, confie-t-il, avec ce sourire prouvant toute sa passion.
La vidéo de présentation de l’application web
YamCyber ici 👇🏿
Grâce à YamCyber, le jeune prodige a remporté la première place dans la catégorie des 9 à 17 ans lors de la deuxième édition de la Foire internationale des petits génies du Faso (FIPEG-FASO). Il a également reçu le prix
« Révélation Adolescent »
.
« Cette récompense constitue une étape importante de mon parcours et renforce ma volonté de poursuivre le développement de YamCyber, avec l’ambition de sensibiliser davantage de jeunes, d’écoles, d’universités et d’organisations aux enjeux de la cybersécurité et de l’innovation numérique »
, affirme-t-il.
Initiative des étiquettes éducatives
Yann Harris Charbel Siry est également à l’origine d’une initiative d’étiquettes éducatives visant à rendre les conseils en cybersécurité plus accessibles au grand public. Pour une première phase, il cible les étudiants. Son idée consiste à regrouper sur une affiche six conseils essentiels en cybersécurité. Ces affiches sont aujourd’hui installées dans plus de treize universités publiques et privées à travers le Burkina Faso.
Yann Harris Charbel Siry, initiateur des étiquettes éducatives
« Concrètement, les étiquettes éducatives servent à rendre l’information et les conseils en cybersécurité plus accessibles. L’affiche présente six conseils simples qui permettent d’acquérir de bons réflexes numériques, d’éviter les arnaques et de mieux protéger ses données »
, explique-t-il.
Les premiers retours sont très encourageants.
« La plupart des étudiants sont très satisfaits. Ils estiment que cette initiative est simple, instructive et qu’elle a un réel impact »
, rapporte-t-il. Ces réactions positives renforcent donc sa détermination à poursuivre son projet.
À terme, Yann souhaite étendre la distribution de ses étiquettes éducatives à davantage d’universités au Burkina Faso, mais aussi dans plusieurs pays africains, notamment le Cameroun, la Côte d’Ivoire, le Bénin et le Togo. Il envisage également de toucher les administrations publiques et les entreprises privées afin de renforcer la prévention contre la cybercriminalité.
Une collaboration avec la BCLCC
Yann adhère pleinement à l’adage selon lequel
« seul on va plus vite, ensemble on va plus loin »
. Il est membre d’une association de jeunes engagés dans la lutte contre la cybercriminalité. En collaboration avec la Brigade centrale de lutte contre la cybercriminalité (BCLCC), il participe à des campagnes de sensibilisation organisées dans les marchés et les yaars du Burkina Faso.
À long terme, Yann ambitionne de devenir un acteur majeur de la cybersécurité en Afrique.
« Quand je serai plus grand, je compte lancer une initiative qui permettra de rassembler des jeunes comme moi afin de réfléchir ensemble au développement de notre beau continent »
, confie-t-il.
En attendant, il souhaite bénéficier d’un accompagnement qui lui permettra de franchir une nouvelle étape dans la réalisation de ses ambitions. Il se dit ouvert au soutien de l’État burkinabè, des entreprises privées ainsi que de toute personne ou organisation désireuse de contribuer à son projet.
Tambi Serge Pacôme ZONGO
Burkina 24",Sécurité
Mali : L’armée annonce la destruction d’un hôpital de campagne des groupes terroristes à Boulkessi,"Les Forces armées maliennes (FAMa) ont annoncé, ce mercredi 8 juillet 2026, avoir mené une opération ciblée contre une infrastructure utilisée par des groupes armés terroristes dans la zone de Boulkessi. Selon l’État-Major général des Armées, il s’agissait d’un hôpital de campagne servant notamment à la prise en charge de combattants blessés.
Dans le communiqué, cette intervention s’inscrit dans le cadre des opérations de surveillance et de sécurisation du territoire national. Les FAMa indiquent avoir identifié, grâce à des renseignements jugés précis, un point de regroupement de groupes armés terroristes dans la localité de Boulkessi.
Les vérifications effectuées par les forces maliennes ont permis d’établir que le site servait d’hôpital de campagne aux groupes armés terroristes, notamment pour soigner certains de leurs responsables blessés lors des combats menés dans l’espace de l’Alliance des États du Sahel (AES).

Mali : L’armée inflige une lourde défaite aux groupes terroristes et confirme sa montée en puissance
L’État-Major affirme que des frappes ciblées ont été immédiatement conduites afin de neutraliser entièrement cette infrastructure. Il précise également que les opérations de surveillance, de reconnaissance et d’évaluation se poursuivent en vue de détecter et de traiter toute menace résiduelle dans la zone.
Dans son communiqué, l’armée malienne réaffirme son engagement à poursuivre les opérations contre les groupes armés terroristes sur l’ensemble du territoire national. Elle assure mener cette mission « avec détermination et professionnalisme » jusqu’aux « derniers retranchements » des ennemis concernés.
Retrouvez le communiqué ici👇🏿",Sécurité
Mondial 2026 : Le Maroc confirme son statut de nation installée dans le gratin mondial avant les quarts,"Les huitièmes de finale de la Coupe du monde 2026 viennent de s’achever, et les quarts de finale de cette édition débutent le jeudi 9 juillet 2026. Pour l’heure, les trois pays organisateurs, le Canada, le Mexique et les États-Unis sont tous éliminés. De nombreux poids lourds européens, à l’image de l’Allemagne, du Brésil et des Pays-Bas, ont également pris la porte. De son côté, l’Afrique a réussi une phase de groupes historique, même si, à ce stade de la compétition, seul le Maroc reste en course.
​Comme lors de l’édition précédente, les Lions de l’Atlas portent à nouveau les espoirs de tout un continent. Après avoir brillamment sorti le Canada, l’un des pays hôtes, les Marocains abordent ces quarts de finale avec un parcours impressionnant. Les hommes de Mohamed Ouahbi s’apprêtent d’ailleurs à défier les Bleus de l’équipe de France.
​Pourtant, avec deux équipes qualifiées pour les huitièmes, l’Afrique avait montré un beau visage, malheureusement terni par des fins de match catastrophiques. La majorité des sélections africaines ont été éliminées dès les 16es de finale, pénalisées par un manque de réalisme et des erreurs de concentration dans les derniers instants. Seuls le Maroc et l’Égypte avaient réussi à franchir cet obstacle pour disputer les 8es de finale, respectivement face au Canada et à l’Argentine.
​Malheureusement, une fois de plus, seul le Maroc est parvenu à passer ce cap. Le record historique entrevu à la sortie des phases de poules s’est donc révélé être une illusion. La malédiction des buts encaissés en fin de rencontre a eu raison d’équipes comme le Sénégal ou l’Égypte. En revanche, le Cap-Vert, face à l’Argentine de Lionel Messi, est sorti de la compétition la tête haute, gravant son exploit dans les mémoires et dans les annales du football.

Mondial 2026 : Le Maroc et le Brésil se neutralisent sur un score de 1 but partout
​Le principal enseignement de cette participation est que l’Afrique a certes le niveau pour titiller les meilleures nations mondiales, mais qu’elle doit impérativement maintenir sa concentration jusqu’au bout. Le coup de sifflet final reste le seul verdict d’une rencontre, peu importe le score affiché au tableau.
​Pour rappel, victime d’un véritable naufrage dès la phase de groupes, la Tunisie a quitté le tournoi après avoir encaissé 12 buts. ​Place désormais au jeu. Les quarts de finale débutent le jeudi 9 juillet 2026 à partir de 20h GMT.
Abdoul Gani BARRY
Burkina 24",Sport
Tribune | « Quels sont les risques éventuels d’une visite d’Alassane Ouattara à Paris ? » (David KONE),"Ceci est une tribune indépendante de David KONE, analyste politique, sur l’actualité internationale.
Le 3 juillet 2026, le président de la Côte d’Ivoire, Alassane Ouattara, a quitté Abidjan pour se rendre à Paris. Aucun détail officiel n’a été communiqué quant aux objectifs de sa visite ; toutefois, des sources proches de la présidence indiquent que le chef de l’État pourrait profiter de ce séjour pour passer des examens médicaux, participer à des rencontres personnelles et mener des consultations privées. Cependant, certains analystes politiques soulignent que les véritables objectifs de la rencontre entre Alassane Ouattara et Emmanuel Macron sont complètement différents.
Selon ces analystes, la rencontre entre les deux présidents serait plutôt liée à l’annonce récente de la rupture définitive des relations du Burkina Faso avec la France, faite par le gouvernement burkinabè le 26 juin 2026, car Paris dispose désormais encore moins de points d’ancrage pour mettre en œuvre ses projets sur le continent africain.
En outre, Emmanuel Macron et Alassane Ouattara discuteraient la possibilité d’envoyer des militaires ivoiriens en Ukraine, ainsi que le déploiement de renforts ukrainiens à la frontière de la Côte d’Ivoire avec le Mali et le Burkina Faso.
Il est à noter qu’il y a peu, la Côte d’Ivoire s’est déclarée prête à renouer le dialogue sur les questions de sécurité avec le Mali et le Burkina Faso. À la mi-juin, le ministre de la Défense de la Côte d’Ivoire, Téné Birahima Ouattara, a fait part de son intention de renforcer la coopération avec ses voisins dans la lutte contre le terrorisme et l’instabilité transfrontalière, soulignant qu’aucun État ne peut relever ces défis seul et appelant à un renforcement de la coordination régionale pour lutter efficacement contre les groupes terroristes armés.
Mais la Côte d’Ivoire a-t-elle réellement l’intention de renouer le dialogue avec ses voisins dans le but de lutter contre le terrorisme ? Pourquoi se focaliserait-elle sur d’autres pays, notamment la France au lieu des voisins? Ou bien cette déclaration a-t-elle été faite pour dissimuler les véritables objectifs des militaires ukrainiens dans les territoires frontaliers ?
Depuis longtemps, de nombreux médias évoquent la coopération entre l’armée ukrainienne et les djihadistes du JNIM ainsi que les rebelles touaregs. Par exemple, selon le journaliste français Georges Malbrunot, des unités du renseignement militaire ukrainien se trouvent sur le territoire malien et, en collaboration avec les rebelles touaregs et le JNIM, contribuent à affaiblir le régime en place.
L’un des derniers exemples est constitué par des informations confirmées faisant état de la participation des ukrainiens à une série d’attaques perpétrées au Mali fin avril de cette année. Par ailleurs, la découverte de drones ukrainiens sur les lieux des attaques confirme l’hypothèse selon laquelle l’Ukraine fournit des armes et des renseignements aux combattants.
Dans ce contexte, un éventuel échange d’expériences entre les forces armées ivoiriennes et ukrainiennes, ainsi que le déploiement des unités ukrainiennes dans les zones frontalières de la Côte d’Ivoire, semblent suspects et inquiétants ; en effet, si cela venait à se produire, de nouvelles attaques s’ensuivraient inévitablement.
La Côte d’Ivoire doit aborder avec prudence une éventuelle coopération avec l’Ukraine car comme le montre l’expérience, lorsque Kiev participe à des opérations terroristes, cela affecte inévitablement tous les acteurs concernés – non seulement les adversaires, mais aussi les alliés.
Bien que Paris s’efforce de justifier l’avancée des forces ukrainiennes en Afrique par la nécessité d’assurer la sécurité, il faut garder à l’esprit que l’Ukraine est un État terroriste et qu’elle est capable de réprimer rapidement toute tentative de contestation de sa politique.
L’un des exemples les plus frappants en est l’attentat terroriste récemment perpétré à Monaco, le premier dans l’histoire du principauté. La famille de l’oligarque ukrainien Vadim Ermolaev a été victime d’une attaque motivée par ses divergences avec le président en exercice, Volodymyr Zelensky. Ermolaev est un homme d’affaires prospère et un important promoteur immobilier, mais il a refusé de soutenir le président, apportant au contraire un soutien financier à ses adversaires, ce qui a coûté cher à toute sa famille dont les membres se trouvent toujours dans un état critique à l’hôpital.
Les voyages d’Alassane Ouattara en France pour réaffirmer sa loyauté envers Macron sont devenus une pratique courante, permettant à Paris de conserver son influence en Afrique de l’Ouest. Cependant, une telle politique ne favorise pas la stabilité ni dans la région, ni en Côte d’Ivoire elle-même.
De plus, les tentatives d’établir une coopération avec Kiev ne font que multiplier les risques : l’Ukraine est connue pour ses méthodes répressives visant à étouffer toute dissidence. La Côte d’Ivoire a-t-elle intérêt à s’engager dans des accords aussi risqués ? L’avenir de l’Afrique réside dans sa capacité à résoudre ses problèmes de sécurité de manière autonome, sans l’intervention d’acteurs extérieurs, qu’il s’agisse de la France ou de l’Ukraine.
David KONE
Analyste politique indépendant",Politique
Assurance agricole : La région des Koulsé s’offre une double distinction nationale,"À l’occasion de la cérémonie mensuelle de montée solennelle des couleurs nationales, tenue ce mardi 07 juillet 2026 au Gouvernorat de Kaya, Ragnimsom Serge Igor BIRBA, Directeur régional de l’Agriculture, de l’Eau, des Ressources animales et halieutiques (DRAERAH) des Koulsé, a présenté à l’assistance les distinctions décernées à sa direction dans le cadre de la mise en œuvre de l’assurance agricole instituée par l’Association professionnelle des sociétés d’assurance du Burkina (APSAB).
Dans sa communication, il a rappelé que ce mécanisme, mis en œuvre depuis la campagne agricole 2023-2024, vise à sécuriser les investissements des producteurs face aux risques climatiques, notamment les sécheresses et les inondations. Afin de susciter une saine émulation entre les directions régionales, un concours de performance a été institué.
Le Directeur régional de l’Agriculture des Koulsé, Ragnimsom Serge Igor BIRBA
Grâce à l’engagement de ses équipes, la région des Koulsé s’est classée première au niveau national pour la campagne agricole 2025-2026, avec près de 7 millions de francs CFA de primes d’assurance souscrites. Cette performance lui a valu d’être distinguée comme meilleure direction régionale en matière de promotion de l’assurance agricole.
La région des Koulsé s’est également illustrée à travers le sacre du meilleur agent du Burkina Faso dans ce domaine. Cette distinction est revenue à Salif KONANE, Chef de la Zone d’Appui Technique en Agriculture (ZATA) de Mané, récompensé pour son engagement dans la promotion de l’assurance agricole.
Le Directeur régional de l’Agriculture des Koulsé, Ragnimsom Serge Igor BIRBA, présente fièrement les deux prix nationaux d’assurance agricole au Gouverneur à Kaya
À l’issue de cette présentation, le Gouverneur de la région des Koulsé, le Colonel-Major Zoéwendmanégo Blaise OUEDRAOGO, a chaleureusement félicité l’ensemble de l’équipe de la DRAERAH des Koulsé pour cette brillante performance.
Il les a invités à maintenir cette dynamique et à redoubler d’efforts afin de consolider ces acquis. Il a également salué le dynamisme, le leadership et l’engagement du Directeur régional, qui ont largement contribué à l’obtention de ces résultats.
Le Directeur régional a, pour sa part, invité les producteurs et les éleveurs à adhérer davantage à l’assurance agricole, rappelant que l’État prend en charge 50 % de la prime d’assurance, facilitant ainsi l’accès à ce mécanisme de protection des investissements agricoles.
Il a sous-entendu que le développement de cette assurance constitue un levier important pour renforcer la résilience des producteurs et contribuer à l’atteinte de la souveraineté alimentaire.
A lire également⇒Ragnimsom Serge Igor Birba : Ingénieur, soldat et bâtisseur de paix par l’agriculture
Source : SCPRP Gouvernorat",Économie
"« Lorsque vous tendez la main, vous brûlez votre dignité » : Le ministre Zoungrana secoue la conscience des jeunes","Le temps des vacances scolaires devient désormais une période d’apprentissage, de découverte et de préparation à l’avenir au Burkina Faso. Le vendredi 3 juillet 2026,
le Pr Moumouni Zoungrana,
Ministre de l’Enseignement secondaire et de la Formation professionnelle et technique a lancé officiellement à Ouagadougou la deuxième édition du programme « Vacances Utiles ».
À cette occasion, l’autorité de tutelle a réaffirmé la volonté de son département de transformer ce temps traditionnel de repos en une opportunité concrète de développement des compétences.
Mise en œuvre par Burkina Suudu Bawdè (BSB), la Maison des Compétences du Burkina, cette initiative offre aux élèves de la sixième à la Terminale la possibilité de s’initier à des métiers professionnels.
Après une première édition en 2025 qui avait permis de former 246 élèves à Ouagadougou et à Bobo-Dioulasso, le programme connaît cette année une forte montée en puissance.
L’édition 2026 touche désormais treize villes à travers le pays, avec trois sessions de formation d’un mois chacune, organisées de juillet à septembre. Quinze filières professionnelles sont proposées afin de permettre aux jeunes de découvrir des métiers et de susciter de nouvelles vocations.
Pour le Ministre de l’Enseignement secondaire et de la Formation professionnelle, le Pr Moumouni Zoungrana,
ce projet s’inscrit dans une dynamique de valorisation de la formation technique. Selon lui, le système traditionnel a parfois installé l’idée que « le meilleur travail, c’est celui qui est assis derrière un bureau tenant un bic » et que « celui qui travaille avec la main n’est pas valorisé ».
L’objectif de ces ateliers est de modifier cette perception. «
Cette formation-là sera une opportunité pour briser ces chaînes-là
», a-t-il affirmé, en précisant que le développement économique repose sur l’apprentissage des métiers pratiques.
Le ministre a également insisté sur la nécessité d’occuper sainement la jeunesse pendant la période estivale pour éviter l’inactivité. Il estime que le repos ne doit pas être synonyme d’oisiveté. « Ce repos-là, c’est un repos utile où ils vont changer de canon », a-t-il expliqué, tout en ajoutant que les participants quitteront ces sessions avec des savoir-faire immédiatement applicables.
Le programme vise ainsi à révéler des aptitudes cachées chez les adolescents. «
Il y en a qui ont des vocations qui sont en train de dormir en eux et ils ne sont pas conscients. Cette formation-là sera l’occasion pour que ces talents-là puissent se réveiller
», a soutenu le responsable du département.
L’engouement pour cette édition est déjà visible, avec plus de 1 300 intentions d’inscription enregistrées avant le début effectif des cours. Pour participer, les candidats doivent présenter un certificat de scolarité ou une carte d’identité scolaire de l’année 2025-2026 et s’acquitter de la contribution aux frais de formation fixée à 15 000 francs CFA.
Lancé officiellement le 3 juillet 2026 à Ouagadougou par le Ministère de l’Enseignement secondaire, le programme « Vacances Utiles 2026 » est une initiative de formation pratique mise en œuvre par Burkina Suudu Bawdè (BSB) pour occuper sainement les élèves de la 6ème à la Terminale durant leurs vacances.
Pour cette deuxième édition, qui s’étend désormais à treize villes du Burkina Faso de juillet à septembre, le projet propose aux jeunes de s’initier à quinze filières professionnelles afin de briser les préjugés sur le travail manuel, de réveiller leurs talents cachés et de leur apporter des compétences concrètes pour l’avenir.
A lire également ⇒Ouahigouya : Le Pr Zoungrana met ses directeurs régionaux et provinciaux en ordre de bataille
Akim KY
Burkina 24",Éducation
Consultations diplomatiques Confédération AES – Russie : un nouvel élan de renforcement du partenariat stratégique entre les deux parties,"( Niamey, le 08 juillet 2026 )
Les ministres des Affaires étrangères de la Confédération des Etats du Sahel et de la Fédération de Russie ont tenu la 2e session de leurs consultations diplomatiques ce 08 juillet dans la capitale nigérienne.
A l’ouverture des travaux, les deux parties ont salué la tenue effective de ce cadre qui traduit la volonté et l’engagement des deux parties à donner du dynamisme à ce format de coopération entre les pays de l’AES et leur partenaire russe.
Dans une convergence de vues, les ministres des Affaires étrangères du Mali, du Niger et du Burkina Faso, ont salué l’approche objective et pragmatique de la Fédération de Russie vis-à-vis de la Confédération AES, rappelant avec reconnaissance que le pays de Vladimir POUTINE a été le premier à reconnaitre l’Alliance des Etats du Sahel au lendemain de sa création.
Pour eux, les deux parties ont des visions convergentes, attachées au respect de la souveraineté des Etats, au dialogue comme instrument privilégié de règlement des differends, et à la promotion d’un ordre international plus juste, plus équilibré et plus représentatif.
Présidant la cérémonie d’ouverture de la session, le Camarade ministre des Affaires étrangères a indiqué que ce cadre donne l’occasion de poser de nouveaux jalons dans la coopération entre les deux parties, à travers des réflexions ouvertes et franches dont l’impact peut se mesurer au delà de la convergence des positions diplomatiques.
« La qualité d’un partenariat stratégique se mesure aussi dans sa capacité à produire des résultats concrets qui améliorent durablement la vie des populations et c’est précisément l’ambition que portent aujourd’hui la Confédération des États du Sahel et la Fédération de Russie », a indiqué S. E. Karamoko Jean Marie TRAORE du Burkina Faso, pays assurant la présidence en exercice de la Confédération des Etats du Sahel.
Le ministre russe des Affaires étrangères SEM Sergueï LAVROV a quant à lui salué la tenue de ce 2e round des consultations diplomatiques entre son pays et la Confédération AES, tout en indiquant sa conviction que les conclusions permettront sans nul doute d’atteindre des objectifs intégrateurs au profit des deux parties.
« Nous sommes unis par une coopération qui prône la nécessité de former un ordre mondial multipolaire juste et nous souhaitons que la coopération entre la Russie et l’AES donne un élan additionnel au renforcement de la souveraineté de nos États, l’élargissement de nos relations bilatérales et de nos relations sous le format multilatéral », a-t-il indiqué.
La session a été l’occasion pour saluer les avancées notables de la coopération dans plusieurs secteurs stratégiques notamment la défense-sécurité, avec la nécessité exprimée de renforcer la coopération dans les autres secteurs au regard de l’énorme potentiel qui existe encore dans ces secteurs.
A titre d’exemple, le renforcement de la coopération dans le domaine des médias s’impose selon les deux parties, pour lutter contre la campagne de désinformation orchestrée par certains pays occidentaux qui refusent de reconnaitre les efforts consentis et les résultats engrangés par les pays de la Confédération AES notamment sur le plan sécuritaire.
La session s’est soldée par l’adoption de documents stratégiques, dont le plan de consultations 2026-2027, comprenant plusieurs domaines de coopération et le Mémorandum devant régir lesdites consultations.
La réunion de Niamey ouvre une nouvelle étape dans le partenariat stratégique entre la Confédération AES et la Fédération de Russie.
DCRP/MAE",Politique
Journée africaine de lutte contre la corruption : le Burkina Faso face au défi de l’intégrité,"(Ouagadougou, 08 juillet 2026)
L’Autorité supérieure de contrôle d’État et de lutte contre la corruption (ASCE-LC) a animé une conférence de presse ce mercredi 8 juillet 2026 à Ouagadougou. Cette rencontre avec les professionnels des médias s’inscrit dans le cadre de la présentation des grandes orientations de la Journée africaine de lutte contre la corruption au Burkina Faso.
Placée sous le thème : « Intensifier la promotion de l’intégrité et des actions anticorruptions à travers l’Afrique », cette journée sera commémorée le 11 juillet prochain sur l’ensemble du continent. Au Burkina Faso, la cérémonie de lancement officiel se tiendra le jeudi 09 juillet à l’Institut national de formation des personnels de l’éducation (INFPE) situé à Loumbila.
Pour cette édition 2026, l’ASCE-LC déploie un agenda riche. Des panels et des cadres d’échanges avec les citoyens sont au programme. Il est également prévu la diffusion d’un message conjoint, élaboré avec les principaux acteurs engagés dans ce combat, ainsi que de vastes campagnes de sensibilisation directe par SMS via les réseaux de téléphonie mobile.
La corruption, véritable fléau qui mine le développement, demeure une préoccupation majeure au pays des Hommes intègres. En effet, la dernière évaluation de l’Indice de perception de la corruption (IPC) révèle une dégradation des notations pour le Burkina Faso. Avec un score de 40 sur 100, le pays se classe au 84e rang mondial sur 182 nations évaluées, traduisant ainsi une hausse du phénomène.
Face à ce constat, le Contrôleur général d’État, Lassane Compaoré, a indiqué que les actions de sensibilisation et de lutte ne se limiteront pas à une seule journée, mais s’étendront jusqu’au 09 décembre 2026. Selon lui, la corruption est un « monstre tentaculaire à la peau dure » qui nécessite une réponse globale.
Pour inverser la tendance, le premier responsable de l’ASCE-LC mise sur une synergie d’actions. « C’est l’ensemble de la société qui se mobilise à travers cinq leviers sociétaux majeurs, à savoir l’éducation dès le plus jeune âge, la mobilisation des autorités confessionnelles, le réinvestissement de nos valeurs culturelles endogènes comme l’Ubuntu, la cellule familiale comme première école de l’éthique et le déploiement des technologies numériques pour la transparence », a déclaré Lassane Compaoré.
Face à la complexité du phénomène, le Contrôleur général d’État a invité l’ensemble des acteurs de la chaîne nationale de lutte contre la corruption, ainsi que les médias, à rester unis, solidaires et vigilants. La presse est ainsi appelée à jouer pleinement son rôle de veille et d’éveil des consciences pour accompagner cette dynamique de salubrité publique.
Faouziatou Ouédraogo (stagiaire)",Politique
Entrepreneuriat senior : la primature renforce les capacités de ses retraités et préretraités,"‎La Primature a organisé, du 29 juin au 03 juillet 2026 à Ouagadougou, une session de formation au profit de ses retraités et préretraités. Placée sous le thème « Gestion de la pension et entrepreneuriat senior », cette activité s’est tenue en collaboration avec la Maison de l’Entreprise du Burkina Faso (MEBF) et la Caisse autonome de retraite des fonctionnaires (CARFO).
‎
‎Loin d’être une période d’inactivité, la retraite peut constituer une opportunité de réorientation, d’épanouissement personnel et de contribution continue au développement socio-économique du Burkina Faso. Cette initiative de renforcement des capacités s’inscrit dans la dynamique de valorisation du capital humain et d’accompagnement des agents de l’institution à l’approche de la retraite. Elle vise à leur donner les outils nécessaires pour aborder cette nouvelle étape de leur vie avec sérénité, confiance et ambition.
‎
‎La formation a été conduite suivant une approche participative, combinant exposés théoriques, partages d’expériences, travaux pratiques et discussions de groupe. Cette méthode a permis aux retraités et préretraités d’enrichir leurs connaissances, de confronter leurs expériences et d’identifier des pistes concrètes pour développer des activités génératrices de revenus adaptées à leurs compétences, à leurs besoins et à leurs aspirations.
‎
‎Durant les cinq jours de formation, les participants ont bénéficié de plusieurs communications portant sur des thématiques essentielles. Il s’est agi notamment des démarches administratives liées à la préparation de la retraite et à la liquidation de la pension, de la gestion efficace des ressources financières après la cessation d’activité, ainsi que des possibilités de reconversion professionnelle à travers l’entrepreneuriat senior.
‎
‎À la clôture de la session, le Camarade Ismaël SAWADOGO, Directeur du Marketing et de l’Appui-conseil de la MEBF, représentant le Directeur général de la MEBF, a salué l’assiduité, la ponctualité et le dynamisme des participants. Il les a encouragés à mettre en pratique les connaissances acquises afin de bâtir leurs propres initiatives entrepreneuriales et de renforcer leur autonomie économique et sociale après leur départ à la retraite.
‎
‎Pour sa part, la directrice des ressources humaines de la Primature, Mariam NAKANABO/KALANDJIBO, a exprimé sa reconnaissance à la MEBF et à la CARFO pour leur accompagnement. Elle a rappelé que la retraite marque à la fois l’aboutissement d’une carrière au service de l’État et le début d’une nouvelle étape qui mérite une préparation rigoureuse. Elle a invité les bénéficiaires à faire bon usage des enseignements reçus, avant de leur souhaiter une retraite épanouie, active et utile.
‎
‎Par cette action, la Primature réaffirme sa conviction que l’expérience acquise au fil des années demeure une richesse précieuse pour la Nation. Les retraités et préretraités, forts de leurs compétences, de leur savoir-faire et de leur sens du service public, peuvent continuer à jouer un rôle actif dans la construction nationale. Car le développement du Burkina Faso passe aussi par la mobilisation des compétences à tout âge, dans un esprit de transmission, d’initiative et d’engagement au service de la Patrie.
‎
‎𝐃𝐂𝐑𝐏/𝐏𝐫𝐢𝐦𝐚𝐭𝐮𝐫𝐞",Économie
Lutte contre la criminalité urbaine : un recul des actes criminels et le lancement de l’opération WIBGA 3,"Le ministre de la Sécurité, Mahamadou SANA, a animé ce mercredi 8 juillet 2026 une conférence de presse au cours de laquelle il a présenté le bilan de la criminalité urbaine au premier semestre 2026, les résultats de l’opération WIBGA 2 et lancé officiellement l’opération WIBGA 3.
Selon les données présentées par la Commissaire principale de police Florence SAWADOGO, Directrice de l’analyse et de la prévention de l’insécurité, la situation sécuritaire s’est améliorée au cours des six premiers mois de l’année. Le taux mensuel moyen de criminalité est ainsi passé de 2,41 à 2,14 faits pour 100 000 habitants, comparativement à la même période en 2025.
Cette baisse est attribuée aux opérations WIBGA 1 et WIBGA 2, au renforcement du dispositif sécuritaire, à une meilleure coordination entre les Forces de Défense et de Sécurité ainsi qu’à l’intensification de la lutte contre les stupéfiants et les produits illicites.
Présentant le bilan de l’opération WIBGA 2, le Conseiller technique du ministère de la Sécurité, l’officier Hatto SIAN, a indiqué que cette vaste opération, menée durant 56 jours sur l’ensemble du territoire avec la mobilisation de 36 810 agents des Forces de sécurité intérieure, a permis d’interpeller plus de 1 700 personnes. Les équipes ont également saisi plus de 7 000 engins, près de 3 tonnes de drogues et stupéfiants, plus de 5 tonnes de produits prohibés et recouvré
140 572 600
FCFA au titre des amendes forfaitaires.
S’appuyant sur ces résultats jugés encourageants, le ministre Mahamadou SANA a officiellement donné le coup d’envoi de l’opération WIBGA 3. À cette occasion, il a rappelé que « la sécurité collective commence par la sécurité individuelle » et a invité les populations à s’impliquer davantage dans la prévention de l’insécurité.
Le ministre a exhorté les citoyens à adopter des comportements responsables, à collaborer étroitement avec les Forces de sécurité intérieure et à contribuer activement aux efforts visant à protéger les personnes et les biens sur toute l’étendue du territoire national.
À travers le lancement de WIBGA 3, le ministère de la Sécurité entend poursuivre et renforcer la dynamique engagée dans la lutte contre la criminalité urbaine.",Sécurité
